win_criterion,correlation_measure,rho_xy,rho_uv,eta_x,eta_y,winning_weight,n_wins,total_wins,prop_wins
Coverage closest to 0.95 for observed rho,Phi,0,0.5,4,4,PPW,3,26,0.11538461538461539
Coverage closest to 0.95 for observed rho,Phi,0.5,0,0,0,no_weight,14,25,0.56
Coverage closest to 0.95 for observed rho,Phi,0.5,0,0,0,PPW,5,25,0.2
Coverage closest to 0.95 for observed rho,Phi,0.5,0,0,0,OPW,5,25,0.2
Coverage closest to 0.95 for observed rho,Phi,0.5,0,0,0,MOPW,1,25,0.04
Coverage closest to 0.95 for observed rho,Phi,0.5,0,0,4,no_weight,12,26,0.46153846153846156
Coverage closest to 0.95 for observed rho,Phi,0.5,0,0,4,PPW,9,26,0.34615384615384615
Coverage closest to 0.95 for observed rho,Phi,0.5,0,0,4,OPW,4,26,0.15384615384615385
Coverage closest to 0.95 for observed rho,Phi,0.5,0,0,4,MOPW,1,26,0.038461538461538464
Coverage closest to 0.95 for observed rho,Phi,0.5,0,4,0,PPW,10,26,0.38461538461538464
Coverage closest to 0.95 for observed rho,Phi,0.5,0,4,0,no_weight,9,26,0.34615384615384615
Coverage closest to 0.95 for observed rho,Phi,0.5,0,4,0,OPW,5,26,0.19230769230769232
Coverage closest to 0.95 for observed rho,Phi,0.5,0,4,0,MOPW,2,26,0.07692307692307693
Coverage closest to 0.95 for observed rho,Phi,0.5,0,4,4,PPW,16,27,0.5925925925925926
Coverage closest to 0.95 for observed rho,Phi,0.5,0,4,4,no_weight,4,27,0.14814814814814814
Coverage closest to 0.95 for observed rho,Phi,0.5,0,4,4,OPW,4,27,0.14814814814814814
Coverage closest to 0.95 for observed rho,Phi,0.5,0,4,4,MOPW,3,27,0.1111111111111111
Coverage closest to 0.95 for observed rho,Phi,0.5,0.5,0,0,no_weight,19,25,0.76
Coverage closest to 0.95 for observed rho,Phi,0.5,0.5,0,0,OPW,4,25,0.16
Coverage closest to 0.95 for observed rho,Phi,0.5,0.5,0,0,PPW,2,25,0.08
Coverage closest to 0.95 for observed rho,Phi,0.5,0.5,0,4,no_weight,17,27,0.6296296296296297
Coverage closest to 0.95 for observed rho,Phi,0.5,0.5,0,4,PPW,6,27,0.2222222222222222
Coverage closest to 0.95 for observed rho,Phi,0.5,0.5,0,4,OPW,3,27,0.1111111111111111
Coverage closest to 0.95 for observed rho,Phi,0.5,0.5,0,4,MOPW,1,27,0.037037037037037035
Coverage closest to 0.95 for observed rho,Phi,0.5,0.5,4,0,no_weight,11,26,0.4230769230769231
Coverage closest to 0.95 for observed rho,Phi,0.5,0.5,4,0,PPW,9,26,0.34615384615384615
Coverage closest to 0.95 for observed rho,Phi,0.5,0.5,4,0,OPW,4,26,0.15384615384615385
Coverage closest to 0.95 for observed rho,Phi,0.5,0.5,4,0,MOPW,2,26,0.07692307692307693
Coverage closest to 0.95 for observed rho,Phi,0.5,0.5,4,4,no_weight,13,25,0.52
Coverage closest to 0.95 for observed rho,Phi,0.5,0.5,4,4,PPW,6,25,0.24
Coverage closest to 0.95 for observed rho,Phi,0.5,0.5,4,4,OPW,6,25,0.24
Coverage closest to 0.95 for observed rho,Spearman,0,0,0,0,PPW,24,25,0.96
Coverage closest to 0.95 for observed rho,Spearman,0,0,0,0,no_weight,1,25,0.04
Coverage closest to 0.95 for observed rho,Spearman,0,0,0,4,PPW,23,28,0.8214285714285714
Coverage closest to 0.95 for observed rho,Spearman,0,0,0,4,CW,3,28,0.10714285714285714
Coverage closest to 0.95 for observed rho,Spearman,0,0,0,4,OPW,1,28,0.03571428571428571
Coverage closest to 0.95 for observed rho,Spearman,0,0,0,4,MOPW,1,28,0.03571428571428571
Coverage closest to 0.95 for observed rho,Spearman,0,0,4,0,PPW,24,28,0.8571428571428571
Coverage closest to 0.95 for observed rho,Spearman,0,0,4,0,CW,2,28,0.07142857142857142
Coverage closest to 0.95 for observed rho,Spearman,0,0,4,0,OPW,1,28,0.03571428571428571
Coverage closest to 0.95 for observed rho,Spearman,0,0,4,0,MOPW,1,28,0.03571428571428571
Coverage closest to 0.95 for observed rho,Spearman,0,0,4,4,PPW,20,28,0.7142857142857143
Coverage closest to 0.95 for observed rho,Spearman,0,0,4,4,CW,6,28,0.21428571428571427
Coverage closest to 0.95 for observed rho,Spearman,0,0,4,4,OPW,1,28,0.03571428571428571
Coverage closest to 0.95 for observed rho,Spearman,0,0,4,4,MOPW,1,28,0.03571428571428571
Coverage closest to 0.95 for observed rho,Spearman,0,0.5,0,0,CW,23,30,0.7666666666666667
Coverage closest to 0.95 for observed rho,Spearman,0,0.5,0,0,OPW,3,30,0.1
Coverage closest to 0.95 for observed rho,Spearman,0,0.5,0,0,MOPW,3,30,0.1
Coverage closest to 0.95 for observed rho,Spearman,0,0.5,0,0,PPW,1,30,0.03333333333333333
Coverage closest to 0.95 for observed rho,Spearman,0,0.5,0,4,no_weight,18,28,0.6428571428571429
Coverage closest to 0.95 for observed rho,Spearman,0,0.5,0,4,OPW,6,28,0.21428571428571427
Coverage closest to 0.95 for observed rho,Spearman,0,0.5,0,4,MOPW,3,28,0.10714285714285714
Coverage closest to 0.95 for observed rho,Spearman,0,0.5,0,4,PPW,1,28,0.03571428571428571
Coverage closest to 0.95 for observed rho,Spearman,0,0.5,4,0,no_weight,18,27,0.6666666666666666
Coverage closest to 0.95 for observed rho,Spearman,0,0.5,4,0,OPW,5,27,0.18518518518518517
Coverage closest to 0.95 for observed rho,Spearman,0,0.5,4,0,PPW,2,27,0.07407407407407407
Coverage closest to 0.95 for observed rho,Spearman,0,0.5,4,0,MOPW,2,27,0.07407407407407407
Coverage closest to 0.95 for observed rho,Spearman,0,0.5,4,4,no_weight,15,27,0.5555555555555556
Coverage closest to 0.95 for observed rho,Spearman,0,0.5,4,4,OPW,8,27,0.2962962962962963
Coverage closest to 0.95 for observed rho,Spearman,0,0.5,4,4,PPW,2,27,0.07407407407407407
Coverage closest to 0.95 for observed rho,Spearman,0,0.5,4,4,MOPW,2,27,0.07407407407407407
Coverage closest to 0.95 for observed rho,Spearman,0.5,0,0,0,CW,18,28,0.6428571428571429
Coverage closest to 0.95 for observed rho,Spearman,0.5,0,0,0,OPW,5,28,0.17857142857142858
Coverage closest to 0.95 for observed rho,Spearman,0.5,0,0,0,PPW,3,28,0.10714285714285714
Coverage closest to 0.95 for observed rho,Spearman,0.5,0,0,0,MOPW,2,28,0.07142857142857142
Coverage closest to 0.95 for observed rho,Spearman,0.5,0,0,4,no_weight,13,26,0.5
Coverage closest to 0.95 for observed rho,Spearman,0.5,0,0,4,PPW,7,26,0.2692307692307692
Coverage closest to 0.95 for observed rho,Spearman,0.5,0,0,4,OPW,5,26,0.19230769230769232
Coverage closest to 0.95 for observed rho,Spearman,0.5,0,0,4,MOPW,1,26,0.038461538461538464
Coverage closest to 0.95 for observed rho,Spearman,0.5,0,4,0,no_weight,13,25,0.52
Coverage closest to 0.95 for observed rho,Spearman,0.5,0,4,0,PPW,7,25,0.28
Coverage closest to 0.95 for observed rho,Spearman,0.5,0,4,0,OPW,5,25,0.2
Coverage closest to 0.95 for observed rho,Spearman,0.5,0,4,4,PPW,18,28,0.6428571428571429
Coverage closest to 0.95 for observed rho,Spearman,0.5,0,4,4,OPW,7,28,0.25
Coverage closest to 0.95 for observed rho,Spearman,0.5,0,4,4,MOPW,2,28,0.07142857142857142
Coverage closest to 0.95 for observed rho,Spearman,0.5,0,4,4,no_weight,1,28,0.03571428571428571
Coverage closest to 0.95 for observed rho,Spearman,0.5,0.5,0,0,no_weight,19,27,0.7037037037037037
Coverage closest to 0.95 for observed rho,Spearman,0.5,0.5,0,0,OPW,4,27,0.14814814814814814
Coverage closest to 0.95 for observed rho,Spearman,0.5,0.5,0,0,PPW,2,27,0.07407407407407407
Coverage closest to 0.95 for observed rho,Spearman,0.5,0.5,0,0,MOPW,2,27,0.07407407407407407
Coverage closest to 0.95 for observed rho,Spearman,0.5,0.5,0,4,no_weight,14,26,0.5384615384615384
Coverage closest to 0.95 for observed rho,Spearman,0.5,0.5,0,4,PPW,8,26,0.3076923076923077
Coverage closest to 0.95 for observed rho,Spearman,0.5,0.5,0,4,OPW,3,26,0.11538461538461539
Coverage closest to 0.95 for observed rho,Spearman,0.5,0.5,0,4,MOPW,1,26,0.038461538461538464
Coverage closest to 0.95 for observed rho,Spearman,0.5,0.5,4,0,no_weight,15,26,0.5769230769230769
Coverage closest to 0.95 for observed rho,Spearman,0.5,0.5,4,0,PPW,7,26,0.2692307692307692
Coverage closest to 0.95 for observed rho,Spearman,0.5,0.5,4,0,OPW,3,26,0.11538461538461539
Coverage closest to 0.95 for observed rho,Spearman,0.5,0.5,4,0,MOPW,1,26,0.038461538461538464
Coverage closest to 0.95 for observed rho,Spearman,0.5,0.5,4,4,no_weight,15,25,0.6
Coverage closest to 0.95 for observed rho,Spearman,0.5,0.5,4,4,PPW,9,25,0.36
Coverage closest to 0.95 for observed rho,Spearman,0.5,0.5,4,4,OPW,1,25,0.04
Coverage closest to 0.95 for true rho,Pearson,0,0,0,0,PPW,24,25,0.96
Coverage closest to 0.95 for true rho,Pearson,0,0,0,0,no_weight,1,25,0.04
Coverage closest to 0.95 for true rho,Pearson,0,0,0,4,PPW,24,28,0.8571428571428571
Coverage closest to 0.95 for true rho,Pearson,0,0,0,4,CW,2,28,0.07142857142857142
Coverage closest to 0.95 for true rho,Pearson,0,0,0,4,OPW,1,28,0.03571428571428571
Coverage closest to 0.95 for true rho,Pearson,0,0,0,4,MOPW,1,28,0.03571428571428571
Coverage closest to 0.95 for true rho,Pearson,0,0,4,0,PPW,24,28,0.8571428571428571
Coverage closest to 0.95 for true rho,Pearson,0,0,4,0,CW,2,28,0.07142857142857142
Coverage closest to 0.95 for true rho,Pearson,0,0,4,0,OPW,1,28,0.03571428571428571
Coverage closest to 0.95 for true rho,Pearson,0,0,4,0,MOPW,1,28,0.03571428571428571
Coverage closest to 0.95 for true rho,Pearson,0,0,4,4,PPW,24,28,0.8571428571428571
Coverage closest to 0.95 for true rho,Pearson,0,0,4,4,OPW,2,28,0.07142857142857142
Coverage closest to 0.95 for true rho,Pearson,0,0,4,4,CW,1,28,0.03571428571428571
Coverage closest to 0.95 for true rho,Pearson,0,0,4,4,MOPW,1,28,0.03571428571428571
Coverage closest to 0.95 for true rho,Pearson,0,0.5,0,0,CW,23,30,0.7666666666666667
Coverage closest to 0.95 for true rho,Pearson,0,0.5,0,0,OPW,3,30,0.1
Coverage closest to 0.95 for true rho,Pearson,0,0.5,0,0,MOPW,3,30,0.1
Coverage closest to 0.95 for true rho,Pearson,0,0.5,0,0,PPW,1,30,0.03333333333333333
Coverage closest to 0.95 for true rho,Pearson,0,0.5,0,4,CW,24,29,0.8275862068965517
Coverage closest to 0.95 for true rho,Pearson,0,0.5,0,4,OPW,2,29,0.06896551724137931
Coverage closest to 0.95 for true rho,Pearson,0,0.5,0,4,MOPW,2,29,0.06896551724137931
Coverage closest to 0.95 for true rho,Pearson,0,0.5,0,4,PPW,1,29,0.034482758620689655
Coverage closest to 0.95 for true rho,Pearson,0,0.5,4,0,CW,24,29,0.8275862068965517
Coverage closest to 0.95 for true rho,Pearson,0,0.5,4,0,OPW,2,29,0.06896551724137931
Coverage closest to 0.95 for true rho,Pearson,0,0.5,4,0,MOPW,2,29,0.06896551724137931
Coverage closest to 0.95 for true rho,Pearson,0,0.5,4,0,PPW,1,29,0.034482758620689655
Coverage closest to 0.95 for true rho,Pearson,0,0.5,4,4,CW,23,30,0.7666666666666667
Coverage closest to 0.95 for true rho,Pearson,0,0.5,4,4,OPW,3,30,0.1
Coverage closest to 0.95 for true rho,Pearson,0,0.5,4,4,MOPW,3,30,0.1
Coverage closest to 0.95 for true rho,Pearson,0,0.5,4,4,PPW,1,30,0.03333333333333333
Coverage closest to 0.95 for true rho,Pearson,0.5,0,0,0,PPW,13,37,0.35135135135135137
Coverage closest to 0.95 for true rho,Pearson,0.5,0,0,0,no_weight,9,37,0.24324324324324326
Coverage closest to 0.95 for true rho,Pearson,0.5,0,0,0,CW,9,37,0.24324324324324326
Coverage closest to 0.95 for true rho,Pearson,0.5,0,0,0,OPW,5,37,0.13513513513513514
Coverage closest to 0.95 for true rho,Pearson,0.5,0,0,0,MOPW,1,37,0.02702702702702703
Coverage closest to 0.95 for true rho,Pearson,0.5,0,0,4,PPW,20,27,0.7407407407407407
Coverage closest to 0.95 for true rho,Pearson,0.5,0,0,4,OPW,4,27,0.14814814814814814
Coverage closest to 0.95 for true rho,Pearson,0.5,0,0,4,MOPW,2,27,0.07407407407407407
Coverage closest to 0.95 for true rho,Pearson,0.5,0,0,4,no_weight,1,27,0.037037037037037035
Coverage closest to 0.95 for true rho,Pearson,0.5,0,4,0,PPW,21,27,0.7777777777777778
Coverage closest to 0.95 for true rho,Pearson,0.5,0,4,0,OPW,3,27,0.1111111111111111
Coverage closest to 0.95 for true rho,Pearson,0.5,0,4,0,MOPW,2,27,0.07407407407407407
Coverage closest to 0.95 for true rho,Pearson,0.5,0,4,0,no_weight,1,27,0.037037037037037035
Coverage closest to 0.95 for true rho,Pearson,0.5,0,4,4,PPW,21,27,0.7777777777777778
Coverage closest to 0.95 for true rho,Pearson,0.5,0,4,4,OPW,3,27,0.1111111111111111
Coverage closest to 0.95 for true rho,Pearson,0.5,0,4,4,MOPW,2,27,0.07407407407407407
Coverage closest to 0.95 for true rho,Pearson,0.5,0,4,4,no_weight,1,27,0.037037037037037035
Coverage closest to 0.95 for true rho,Pearson,0.5,0.5,0,0,no_weight,19,27,0.7037037037037037
Coverage closest to 0.95 for true rho,Pearson,0.5,0.5,0,0,OPW,4,27,0.14814814814814814
Coverage closest to 0.95 for true rho,Pearson,0.5,0.5,0,0,PPW,2,27,0.07407407407407407
Coverage closest to 0.95 for true rho,Pearson,0.5,0.5,0,0,MOPW,2,27,0.07407407407407407
Coverage closest to 0.95 for true rho,Pearson,0.5,0.5,0,4,CW,21,30,0.7
Coverage closest to 0.95 for true rho,Pearson,0.5,0.5,0,4,OPW,4,30,0.13333333333333333
Coverage closest to 0.95 for true rho,Pearson,0.5,0.5,0,4,MOPW,4,30,0.13333333333333333
Coverage closest to 0.95 for true rho,Pearson,0.5,0.5,0,4,PPW,1,30,0.03333333333333333
Coverage closest to 0.95 for true rho,Pearson,0.5,0.5,4,0,CW,21,30,0.7
Coverage closest to 0.95 for true rho,Pearson,0.5,0.5,4,0,OPW,5,30,0.16666666666666666
Coverage closest to 0.95 for true rho,Pearson,0.5,0.5,4,0,MOPW,3,30,0.1
Coverage closest to 0.95 for true rho,Pearson,0.5,0.5,4,0,PPW,1,30,0.03333333333333333
Coverage closest to 0.95 for true rho,Pearson,0.5,0.5,4,4,CW,21,30,0.7
Coverage closest to 0.95 for true rho,Pearson,0.5,0.5,4,4,OPW,5,30,0.16666666666666666
Coverage closest to 0.95 for true rho,Pearson,0.5,0.5,4,4,MOPW,3,30,0.1
Coverage closest to 0.95 for true rho,Pearson,0.5,0.5,4,4,PPW,1,30,0.03333333333333333
Coverage closest to 0.95 for true rho,Phi,0,0,0,0,PPW,24,25,0.96
Coverage closest to 0.95 for true rho,Phi,0,0,0,0,no_weight,1,25,0.04
Coverage closest to 0.95 for true rho,Phi,0,0,0,4,PPW,19,35,0.5428571428571428
Coverage closest to 0.95 for true rho,Phi,0,0,0,4,no_weight,7,35,0.2
Coverage closest to 0.95 for true rho,Phi,0,0,0,4,CW,7,35,0.2
Coverage closest to 0.95 for true rho,Phi,0,0,0,4,OPW,1,35,0.02857142857142857
Coverage closest to 0.95 for true rho,Phi,0,0,0,4,MOPW,1,35,0.02857142857142857
Coverage closest to 0.95 for true rho,Phi,0,0,4,0,PPW,19,26,0.7307692307692307
Coverage closest to 0.95 for true rho,Phi,0,0,4,0,no_weight,7,26,0.2692307692307692
Coverage closest to 0.95 for true rho,Phi,0,0,4,4,PPW,16,29,0.5517241379310345
Coverage closest to 0.95 for true rho,Phi,0,0,4,4,CW,9,29,0.3103448275862069
Coverage closest to 0.95 for true rho,Phi,0,0,4,4,OPW,2,29,0.06896551724137931
Coverage closest to 0.95 for true rho,Phi,0,0,4,4,MOPW,2,29,0.06896551724137931
Coverage closest to 0.95 for true rho,Phi,0,0.5,0,0,no_weight,22,27,0.8148148148148148
Coverage closest to 0.95 for true rho,Phi,0,0.5,0,0,MOPW,3,27,0.1111111111111111
Coverage closest to 0.95 for true rho,Phi,0,0.5,0,0,OPW,2,27,0.07407407407407407
Coverage closest to 0.95 for true rho,Phi,0,0.5,0,4,CW,24,29,0.8275862068965517
Coverage closest to 0.95 for true rho,Phi,0,0.5,0,4,OPW,2,29,0.06896551724137931
Coverage closest to 0.95 for true rho,Phi,0,0.5,0,4,MOPW,2,29,0.06896551724137931
Coverage closest to 0.95 for true rho,Phi,0,0.5,0,4,PPW,1,29,0.034482758620689655
Coverage closest to 0.95 for true rho,Phi,0,0.5,4,0,CW,21,30,0.7
Coverage closest to 0.95 for true rho,Phi,0,0.5,4,0,OPW,4,30,0.13333333333333333
Coverage closest to 0.95 for true rho,Phi,0,0.5,4,0,MOPW,4,30,0.13333333333333333
Coverage closest to 0.95 for true rho,Phi,0,0.5,4,0,PPW,1,30,0.03333333333333333
Coverage closest to 0.95 for true rho,Phi,0,0.5,4,4,CW,22,30,0.7333333333333333
Coverage closest to 0.95 for true rho,Phi,0,0.5,4,4,OPW,4,30,0.13333333333333333
Coverage closest to 0.95 for true rho,Phi,0,0.5,4,4,MOPW,3,30,0.1
Coverage closest to 0.95 for true rho,Phi,0,0.5,4,4,PPW,1,30,0.03333333333333333
Coverage closest to 0.95 for true rho,Phi,0.5,0,0,0,PPW,22,27,0.8148148148148148
Coverage closest to 0.95 for true rho,Phi,0.5,0,0,0,OPW,2,27,0.07407407407407407
Coverage closest to 0.95 for true rho,Phi,0.5,0,0,0,MOPW,2,27,0.07407407407407407
Coverage closest to 0.95 for true rho,Phi,0.5,0,0,0,no_weight,1,27,0.037037037037037035
Coverage closest to 0.95 for true rho,Phi,0.5,0,0,4,PPW,21,25,0.84
Coverage closest to 0.95 for true rho,Phi,0.5,0,0,4,no_weight,3,25,0.12
Coverage closest to 0.95 for true rho,Phi,0.5,0,0,4,MOPW,1,25,0.04
Coverage closest to 0.95 for true rho,Phi,0.5,0,4,0,PPW,20,25,0.8
Coverage closest to 0.95 for true rho,Phi,0.5,0,4,0,no_weight,4,25,0.16
Coverage closest to 0.95 for true rho,Phi,0.5,0,4,0,OPW,1,25,0.04
Coverage closest to 0.95 for true rho,Phi,0.5,0,4,4,PPW,18,25,0.72
Coverage closest to 0.95 for true rho,Phi,0.5,0,4,4,no_weight,7,25,0.28
Coverage closest to 0.95 for true rho,Phi,0.5,0.5,0,0,CW,22,30,0.7333333333333333
Coverage closest to 0.95 for true rho,Phi,0.5,0.5,0,0,MOPW,4,30,0.13333333333333333
Coverage closest to 0.95 for true rho,Phi,0.5,0.5,0,0,OPW,3,30,0.1
Coverage closest to 0.95 for true rho,Phi,0.5,0.5,0,0,PPW,1,30,0.03333333333333333
Coverage closest to 0.95 for true rho,Phi,0.5,0.5,0,4,CW,21,30,0.7
Coverage closest to 0.95 for true rho,Phi,0.5,0.5,0,4,OPW,4,30,0.13333333333333333
Coverage closest to 0.95 for true rho,Phi,0.5,0.5,0,4,MOPW,4,30,0.13333333333333333
Coverage closest to 0.95 for true rho,Phi,0.5,0.5,0,4,PPW,1,30,0.03333333333333333
Coverage closest to 0.95 for true rho,Phi,0.5,0.5,4,0,CW,21,30,0.7
