correlation_measure,subgrouping,M,rho_xy,rho_uv,eta_x,eta_y,rho_true,rho_obs_hat,best_weight_coverage_obs,mean_estimate,coverage_obs,coverage_obs_dist,coverage_true
Pearson,L_Y_dich_1_5__K_X_sev,20,0,0,0,4,0,-7.43056826832932e-4,PPW,-3.162813727920812e-5,0.9223,0.027699999999999947,0.9225
Pearson,L_Y_dich_1_5__K_X_sev,20,0,0,4,0,0,7.463224918980348e-4,PPW,0.009600500109767039,0.9078,0.042199999999999904,0.9079
Pearson,L_Y_dich_1_5__K_X_sev,20,0,0,4,4,0,0.03646026958428305,PPW,0.02930980042460311,0.9149,0.03509999999999991,0.8975
Pearson,L_Y_dich_1_5__K_X_sev,20,0,0.5,0,0,0.4,0.3831791367499273,CW,0.38314903262213795,0.8734,0.0766,0.8823
Pearson,L_Y_dich_1_5__K_X_sev,20,0,0.5,0,4,0.4,0.3035321317014306,no_weight,0.3035321317014306,0.8632,0.08679999999999999,0.8263
Pearson,L_Y_dich_1_5__K_X_sev,20,0,0.5,4,0,0.4,0.3022048754100082,no_weight,0.3022048754100082,0.8618,0.08819999999999995,0.8271
Pearson,L_Y_dich_1_5__K_X_sev,20,0,0.5,4,4,0.4,0.29509744910188507,OPW,0.29007109283328447,0.8732,0.07679999999999998,0.7527
Pearson,L_Y_dich_1_5__K_X_sev,20,0.5,0,0,0,0.1,0.10855073650778706,OPW,0.11974840399959227,0.8733,0.07669999999999999,0.8693
Pearson,L_Y_dich_1_5__K_X_sev,20,0.5,0,0,4,0.1,0.08938054766039766,PPW,0.1268582770289584,0.8846,0.0653999999999999,0.8985
Pearson,L_Y_dich_1_5__K_X_sev,20,0.5,0,4,0,0.1,0.09116823302454596,OPW,0.09832453819137865,0.8753,0.07469999999999999,0.8783
Pearson,L_Y_dich_1_5__K_X_sev,20,0.5,0,4,4,0.1,0.10659491350720593,PPW,0.1364451561120445,0.8928,0.05719999999999992,0.8851
Pearson,L_Y_dich_1_5__K_X_sev,20,0.5,0.5,0,0,0.5,0.4933990071000003,CW,0.49340541618168304,0.8702,0.07979999999999998,0.8731
Pearson,L_Y_dich_1_5__K_X_sev,20,0.5,0.5,0,4,0.5,0.39812201440272504,CW,0.4153687644344479,0.863,0.08699999999999997,0.8679
Pearson,L_Y_dich_1_5__K_X_sev,20,0.5,0.5,4,0,0.5,0.40144653552974946,OPW,0.374443512102267,0.8781,0.07189999999999996,0.7199
Pearson,L_Y_dich_1_5__K_X_sev,20,0.5,0.5,4,4,0.5,0.38942295188380144,OPW,0.3606223889803628,0.8772,0.07279999999999998,0.7151
Pearson,L_Y_dich_2_5__K_X_dich_1_5,20,0,0,0,0,0,-0.00245721773328369,PPW,0.0026495986877391547,0.9228,0.027200000000000002,0.9225
Pearson,L_Y_dich_2_5__K_X_dich_1_5,20,0,0,0,4,0,-7.43056826832932e-4,PPW,0.010150136825835359,0.9172,0.03279999999999994,0.9181
Pearson,L_Y_dich_2_5__K_X_dich_1_5,20,0,0,4,0,0,7.463224918980348e-4,PPW,-0.002509045856408163,0.9141,0.03589999999999993,0.9142
Pearson,L_Y_dich_2_5__K_X_dich_1_5,20,0,0,4,4,0,0.03646026958428305,PPW,0.021896612249252153,0.9166,0.033399999999999985,0.9143
Pearson,L_Y_dich_2_5__K_X_dich_1_5,20,0,0.5,0,0,0.4,0.3831791367499273,CW,0.38314903262213795,0.8734,0.0766,0.8823
Pearson,L_Y_dich_2_5__K_X_dich_1_5,20,0,0.5,0,4,0.4,0.3035321317014306,no_weight,0.3035321317014306,0.8632,0.08679999999999999,0.8263
Pearson,L_Y_dich_2_5__K_X_dich_1_5,20,0,0.5,4,0,0.4,0.3022048754100082,no_weight,0.3022048754100082,0.8618,0.08819999999999995,0.8271
Pearson,L_Y_dich_2_5__K_X_dich_1_5,20,0,0.5,4,4,0.4,0.29509744910188507,no_weight,0.29509744910188507,0.8435,0.10649999999999993,0.7775
Pearson,L_Y_dich_2_5__K_X_dich_1_5,20,0.5,0,0,0,0.1,0.10855073650778706,PPW,0.14205216212983832,0.8838,0.06619999999999993,0.8721
