correlation_measure,subgrouping,M,rho_xy,rho_uv,eta_x,eta_y,rho_true,rho_obs_hat,best_weight_coverage_true,mean_estimate,coverage_true,coverage_true_dist,coverage_obs
Pearson,L_Y_dich_2_5__K_X_dich_1_5,20,0.5,0,0,0,0.1,0.10855073650778706,PPW,0.14205216212983832,0.8721,0.07789999999999997,0.8838
Pearson,L_Y_dich_2_5__K_X_dich_1_5,20,0.5,0,0,4,0.1,0.08938054766039766,PPW,0.12164071196313103,0.9106,0.03939999999999999,0.8969
Pearson,L_Y_dich_2_5__K_X_dich_1_5,20,0.5,0,4,0,0.1,0.09116823302454596,PPW,0.10213367058788095,0.9113,0.03869999999999996,0.9063
Pearson,L_Y_dich_2_5__K_X_dich_1_5,20,0.5,0,4,4,0.1,0.10659491350720593,PPW,0.09874172467496556,0.907,0.04299999999999993,0.908
Pearson,L_Y_dich_2_5__K_X_dich_1_5,20,0.5,0.5,0,0,0.5,0.4933990071000003,no_weight,0.4933990071000003,0.8738,0.07619999999999993,0.8696
Pearson,L_Y_dich_2_5__K_X_dich_1_5,20,0.5,0.5,0,4,0.5,0.39812201440272504,CW,0.4153687644344479,0.8679,0.08209999999999995,0.863
Pearson,L_Y_dich_2_5__K_X_dich_1_5,20,0.5,0.5,4,0,0.5,0.40144653552974946,CW,0.41814564250841846,0.87,0.07999999999999996,0.8571
Pearson,L_Y_dich_2_5__K_X_dich_1_5,20,0.5,0.5,4,4,0.5,0.38942295188380144,CW,0.40897416296803735,0.8613,0.0887,0.8567
Pearson,L_Y_dich_2_5__K_X_dich_2_5,20,0,0,0,0,0,-0.00245721773328369,PPW,-0.004489096192090738,0.9216,0.02839999999999998,0.9211
Pearson,L_Y_dich_2_5__K_X_dich_2_5,20,0,0,0,4,0,-7.43056826832932e-4,PPW,-0.0111698355578094,0.9154,0.034599999999999964,0.9161
Pearson,L_Y_dich_2_5__K_X_dich_2_5,20,0,0,4,0,0,7.463224918980348e-4,PPW,-0.010321948195039054,0.91,0.039999999999999925,0.9099
Pearson,L_Y_dich_2_5__K_X_dich_2_5,20,0,0,4,4,0,0.03646026958428305,PPW,-0.0034988334442010226,0.9205,0.02949999999999997,0.8801
Pearson,L_Y_dich_2_5__K_X_dich_2_5,20,0,0.5,0,0,0.4,0.3831791367499273,CW,0.38314903262213795,0.8823,0.06769999999999998,0.8734
Pearson,L_Y_dich_2_5__K_X_dich_2_5,20,0,0.5,0,4,0.4,0.3035321317014306,CW,0.35763018659521145,0.882,0.06799999999999995,0.8343
Pearson,L_Y_dich_2_5__K_X_dich_2_5,20,0,0.5,4,0,0.4,0.3022048754100082,CW,0.35715175382703734,0.8777,0.07229999999999992,0.8325
Pearson,L_Y_dich_2_5__K_X_dich_2_5,20,0,0.5,4,4,0.4,0.29509744910188507,CW,0.38044395824699406,0.8751,0.07489999999999997,0.7884
Pearson,L_Y_dich_2_5__K_X_dich_2_5,20,0.5,0,0,0,0.1,0.10855073650778706,PPW,0.13402028179490716,0.8821,0.06789999999999996,0.8932
